[2019-06-24T09:54:10.229] [INFO] default - test info 1
[2019-06-24T09:56:13.968] [INFO] default - test info 1
[2019-06-24T09:57:08.292] [INFO] default - test info 1
[2019-06-24T09:57:30.200] [INFO] default - test info 1
[2019-06-24T09:57:30.247] [INFO] default - [::1 GET / 404 8ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T09:57:30.439] [INFO] default - [::1 GET /favicon.ico 404 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T09:58:37.702] [INFO] default - test info 1
[2019-06-24T09:58:39.733] [INFO] default - [::1 GET / 404 11ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T09:58:49.496] [INFO] default - test info 1
[2019-06-24T09:58:51.578] [INFO] default - [::1 GET / 200 19ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T09:58:51.601] [INFO] default - [::1 GET /css/login.css 404 6ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T09:58:51.603] [INFO] default - [::1 GET /img/icon1.png 404 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T09:58:51.605] [INFO] default - [::1 GET /img/icon2.png 404 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:36.697] [INFO] default - [::1 GET / 200 4ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:36.718] [INFO] default - [::1 GET /public/css/login.css 404 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:36.720] [INFO] default - [::1 GET /public/img/icon1.png 404 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:36.723] [INFO] default - [::1 GET /public/img/icon2.png 404 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:37.617] [INFO] default - [::1 GET / 304 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:37.646] [INFO] default - [::1 GET /public/css/login.css 404 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:37.648] [INFO] default - [::1 GET /public/img/icon1.png 404 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:04:37.651] [INFO] default - [::1 GET /public/img/icon2.png 404 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:05:30.997] [INFO] default - test info 1
[2019-06-24T10:05:32.729] [INFO] default - [::1 GET / 304 16ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
